PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
1269993600,MANHEIM,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLACK,AUTO,1,Alloy,60690,AMERICAN,MEDIUM,CHRYSLER,8529,9811,11610,12840,7520,8624,11337,12402,,,22808,75236,TX,8040,0,1020
1231804800,MANHEIM,2003,6,FORD,TAURUS 3.0L V6 EFI S,SE,4D WAGON LX,BROWN,AUTO,1,Alloy,77872,AMERICAN,MEDIUM,FORD,1902,2803,2554,3527,2157,3422,2830,4196,,,3453,80022,CO,3640,0,1220
1261526400,ADESA,2008,1,DODGE,CALIBER,SE,4D WAGON,RED,AUTO,2,Covers,49454,AMERICAN,MEDIUM,CHRYSLER,6892,7440,10934,11524,7524,8277,10564,11431,,,20234,85226,AZ,6765,0,693
1280793600,MANHEIM,2005,5,HYUNDAI,ACCENT,GLS,2D HATCHBACK,BLACK,AUTO,2,Covers,48794,OTHER ASIAN,COMPACT,OTHER,2773,3792,6005,7236,3643,4248,6611,7185,,,835,85040,AZ,5340,0,693
1236124800,MANHEIM,2005,4,CHEVROLET,TRAILBLAZER 2WD 6C 4,LS,4D SUV 4.2L LS,BEIGE,AUTO,1,Alloy,87430,AMERICAN,MEDIUM SUV,GM,7530,8827,8632,10033,7618,9055,8727,10279,,,20207,75236,TX,6725,0,1243
1264636800,MANHEIM,2007,3,PONTIAC,VIBE,,4D WAGON,WHITE,AUTO,2,Covers,59070,AMERICAN,MEDIUM,GM,6520,7990,10947,12474,7555,9147,12130,13986,,,8655,76040,TX,5725,0,505
1246406400,OTHER,2006,3,HYUNDAI,SONATA V6 3.3L V6 MP,GLS,4D SEDAN GLS,BLUE,AUTO,1,Alloy,76022,OTHER ASIAN,MEDIUM,OTHER,7031,9305,8093,10549,7939,10109,9074,11418,,,20928,29697,SC,7100,0,803
1284681600,ADESA,2005,5,CHEVROLET,IMPALA,Bas,4D SEDAN,GREEN,AUTO,2,Covers,76767,AMERICAN,LARGE,GM,0,0,0,0,3944,5213,6919,8421,,,18111,37771,TN,5160,0,1974
1265673600,ADESA,2005,5,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 4.7L SLT,SILVER,AUTO,1,Alloy,64010,AMERICAN,LARGE TRUCK,CHRYSLER,8175,9921,12958,14499,8699,10691,12787,14788,,,18822,78754,TX,11000,0,825
1278460800,MANHEIM,2007,3,KIA,SPORTAGE 2WD 4C,LX,4D SPORT UTILITY LX,BROWN,AUTO,1,Alloy,72981,OTHER ASIAN,SMALL SUV,OTHER,8401,10024,12620,13736,8331,9963,11617,12530,,,19638,33809,FL,7850,0,920
1237852800,MANHEIM,2005,4,DODGE,NEON 2.0L I4 SFI,SE,4D SEDAN,SILVER,AUTO,2,Covers,67229,AMERICAN,COMPACT,CHRYSLER,3837,4858,4644,5747,,,,,,,20207,75050,TX,5010,0,630
1291161600,OTHER,2003,7,FORD,FOCUS,ZTS,4D SEDAN ZTS,GREY,AUTO,1,Alloy,80896,AMERICAN,COMPACT,FORD,3242,3960,5988,6780,3628,4612,6340,7393,NO,GREEN,8655,77073,TX,3725,0,1543
1263859200,ADESA,2004,6,CHRYSLER,PT CRUISER,Bas,4D SEDAN,GOLD,AUTO,2,Covers,57694,AMERICAN,MEDIUM,CHRYSLER,3509,4259,6692,8027,3544,4497,7151,9074,,,1231,50111,IA,4715,1,1086
1253059200,MANHEIM,2003,6,FORD,EXPEDITION 2WD V8 5.,XLT,4D SUV 5.4L XLT,GREEN,AUTO,1,Alloy,84198,AMERICAN,LARGE SUV,FORD,7590,8955,8697,10171,6461,7404,7478,8496,,,22808,75236,TX,9995,0,1413
1268265600,OTHER,2005,5,CHEVROLET,TRAILBLAZER EXT 2WD,LS,4D SUV 4.2L LS,SILVER,AUTO,1,Alloy,89373,AMERICAN,MEDIUM SUV,GM,9402,11150,13317,15071,8134,9938,11855,13435,,,22808,73108,OK,9235,0,1243
